time,p_inlet,p_outlet,delta_p
1.996,5.24767,0.650266,4.597404
1.998,5.24767,0.650265,4.597405
2.0,5.24767,0.650265,4.597405
2.002,5.24767,0.650265,4.597405
2.004,5.24767,0.650266,4.597404
2.006,5.24767,0.650266,4.597404
2.008,5.24767,0.650266,4.597404
2.01,5.24767,0.650266,4.597404
2.012,5.24767,0.650266,4.597404
2.014,5.24767,0.650266,4.597404
2.016,5.24767,0.650266,4.597404
2.018,5.24767,0.650266,4.597404
2.02,5.24767,0.650265,4.597405
2.022,5.24767,0.650265,4.597405
2.024,5.24767,0.650265,4.597405
2.026,5.24767,0.650266,4.597404
2.028,5.24767,0.650266,4.597404
2.03,5.24767,0.650265,4.597405
2.032,5.24767,0.650265,4.597405
2.034,5.24767,0.650266,4.597404
2.036,5.24767,0.650266,4.597404
2.038,5.24767,0.650266,4.597404
2.04,5.24767,0.650266,4.597404
2.042,5.24767,0.650266,4.597404
2.044,5.24767,0.650266,4.597404
2.046,5.24767,0.650266,4.597404
2.048,5.24767,0.650266,4.597404
2.05,5.24767,0.650266,4.597404
2.052,5.24767,0.650265,4.597405
2.054,5.24767,0.650265,4.597405
2.056,5.24767,0.650266,4.597404
2.058,5.24767,0.650266,4.597404
2.06,5.24767,0.650265,4.597405
2.062,5.24767,0.650265,4.597405
2.064,5.24767,0.650266,4.597404
2.066,5.24767,0.650266,4.597404
2.068,5.24767,0.650266,4.597404
2.07,5.24767,0.650266,4.597404
2.072,5.24767,0.650266,4.597404
2.074,5.24767,0.650266,4.597404
2.076,5.24767,0.650266,4.597404
2.078,5.24767,0.650266,4.597404
2.08,5.24767,0.650266,4.597404
2.082,5.24767,0.650265,4.597405
2.084,5.24767,0.650265,4.597405
2.086,5.24767,0.650266,4.597404
2.088,5.24767,0.650266,4.597404
2.09,5.24767,0.650266,4.597404
2.092,5.24767,0.650265,4.597405
2.094,5.24767,0.650265,4.597405
2.096,5.24767,0.650266,4.597404
2.098,5.24767,0.650266,4.597404
2.1,5.24767,0.650265,4.597405
2.102,5.24767,0.650265,4.597405
2.104,5.24767,0.650266,4.597404
2.106,5.24767,0.650266,4.597404
2.108,5.24767,0.650266,4.597404
2.11,5.24767,0.650266,4.597404
2.112,5.24767,0.650266,4.597404
2.114,5.24767,0.650265,4.597405
2.116,5.24767,0.650265,4.597405
2.118,5.24767,0.650266,4.597404
2.12,5.24767,0.650266,4.597404
2.122,5.24767,0.650265,4.597405
2.124,5.24767,0.650265,4.597405
2.126,5.24767,0.650266,4.597404
2.128,5.24767,0.650266,4.597404
2.13,5.24767,0.650265,4.597405
2.132,5.24767,0.650265,4.597405
2.134,5.24767,0.650265,4.597405
2.136,5.24767,0.650266,4.597404
2.138,5.24767,0.650266,4.597404
2.14,5.24767,0.650266,4.597404
2.142,5.24767,0.650266,4.597404
2.144,5.24767,0.650265,4.597405
2.146,5.24767,0.650265,4.597405
2.148,5.24767,0.650266,4.597404
2.15,5.24767,0.650266,4.597404
2.152,5.24767,0.650265,4.597405
2.154,5.24767,0.650265,4.597405
2.156,5.24767,0.650265,4.597405
2.158,5.24767,0.650266,4.597404
2.16,5.24767,0.650266,4.597404
2.162,5.24767,0.650265,4.597405
2.164,5.24767,0.650265,4.597405
2.166,5.24767,0.650266,4.597404
2.168,5.24767,0.650266,4.597404
2.17,5.24767,0.650266,4.597404
2.172,5.24767,0.650266,4.597404
2.174,5.24767,0.650266,4.597404
2.176,5.24767,0.650266,4.597404
2.178,5.24767,0.650266,4.597404
2.18,5.24767,0.650266,4.597404
2.182,5.24767,0.650266,4.597404
2.184,5.24767,0.650265,4.597405
2.186,5.24767,0.650265,4.597405
2.188,5.24767,0.650266,4.597404
2.19,5.24767,0.650266,4.597404
2.192,5.24767,0.650265,4.597405
2.194,5.24767,0.650265,4.597405
2.196,5.24767,0.650266,4.597404
2.198,5.24767,0.650266,4.597404
2.2,5.24767,0.650266,4.597404
2.202,5.24767,0.650266,4.597404
2.204,5.24767,0.650266,4.597404
2.206,5.24767,0.650266,4.597404
2.208,5.24767,0.650266,4.597404
2.21,5.24767,0.650266,4.597404
2.212,5.24767,0.650266,4.597404
2.214,5.24767,0.650265,4.597405
2.216,5.24767,0.650265,4.597405
2.218,5.24767,0.650266,4.597404
2.22,5.24767,0.650266,4.597404
2.222,5.24767,0.650265,4.597405
2.224,5.24767,0.650265,4.597405
2.226,5.24767,0.650265,4.597405
2.228,5.24767,0.650266,4.597404
2.23,5.24767,0.650266,4.597404
2.232,5.24767,0.650266,4.597404
2.234,5.24767,0.650266,4.597404
2.236,5.24767,0.650266,4.597404
2.238,5.24767,0.650266,4.597404
2.24,5.24767,0.650266,4.597404
2.242,5.24767,0.650266,4.597404
2.244,5.24767,0.650265,4.597405
2.246,5.24767,0.650265,4.597405
2.248,5.24767,0.650265,4.597405
2.25,5.24767,0.650266,4.597404
2.252,5.24767,0.650266,4.597404
2.254,5.24767,0.650265,4.597405
2.256,5.24767,0.650265,4.597405
2.258,5.24767,0.650266,4.597404
2.26,5.24767,0.650266,4.597404
2.262,5.24767,0.650265,4.597405
2.264,5.24767,0.650265,4.597405
2.266,5.24767,0.650266,4.597404
2.268,5.24767,0.650266,4.597404
2.27,5.24767,0.650266,4.597404
2.272,5.24767,0.650266,4.597404
2.274,5.24767,0.650266,4.597404
2.276,5.24767,0.650265,4.597405
2.278,5.24767,0.650265,4.597405
2.28,5.24767,0.650266,4.597404
2.282,5.24767,0.650266,4.597404
2.284,5.24767,0.650265,4.597405
2.286,5.24767,0.650265,4.597405
2.288,5.24767,0.650266,4.597404
2.29,5.24767,0.650266,4.597404
2.292,5.24767,0.650266,4.597404
2.294,5.24767,0.650265,4.597405
2.296,5.24767,0.650265,4.597405
2.298,5.24767,0.650266,4.597404
2.3,5.24767,0.650266,4.597404
2.302,5.24767,0.650266,4.597404
2.304,5.24767,0.650266,4.597404
2.306,5.24767,0.650266,4.597404
2.308,5.24767,0.650266,4.597404
2.31,5.24767,0.650266,4.597404
2.312,5.24767,0.650266,4.597404
2.314,5.24767,0.650266,4.597404
2.316,5.24767,0.650265,4.597405
2.318,5.24767,0.650265,4.597405
2.32,5.24767,0.650266,4.597404
2.322,5.24767,0.650266,4.597404
2.324,5.24767,0.650265,4.597405
2.326,5.24767,0.650265,4.597405
2.328,5.24767,0.650266,4.597404
2.33,5.24767,0.650266,4.597404
2.332,5.24767,0.650266,4.597404
2.334,5.24767,0.650266,4.597404
2.336,5.24767,0.650266,4.597404
2.338,5.24767,0.650266,4.597404
2.34,5.24767,0.650266,4.597404
2.342,5.24767,0.650266,4.597404
2.344,5.24767,0.650266,4.597404
2.346,5.24767,0.650265,4.597405
2.348,5.24767,0.650265,4.597405
2.35,5.24767,0.650266,4.597404
2.352,5.24767,0.650266,4.597404
2.354,5.24767,0.650265,4.597405
2.356,5.24767,0.650265,4.597405
2.358,5.24767,0.650265,4.597405
2.36,5.24767,0.650266,4.597404
2.362,5.24767,0.650266,4.597404
2.364,5.24767,0.650266,4.597404
2.366,5.24767,0.650266,4.597404
2.368,5.24767,0.650266,4.597404
2.37,5.24767,0.650266,4.597404
2.372,5.24767,0.650266,4.597404
2.374,5.24767,0.650266,4.597404
2.376,5.24767,0.650265,4.597405
2.378,5.24767,0.650265,4.597405
2.38,5.24767,0.650265,4.597405
2.382,5.24767,0.650266,4.597404
2.384,5.24767,0.650266,4.597404
2.386,5.24767,0.650265,4.597405
2.388,5.24767,0.650265,4.597405
2.39,5.24767,0.650266,4.597404
2.392,5.24767,0.650266,4.597404
2.394,5.24767,0.650265,4.597405
2.396,5.24767,0.650265,4.597405
2.398,5.24767,0.650266,4.597404
2.4,5.24767,0.650266,4.597404
2.402,5.24767,0.650266,4.597404
2.404,5.24767,0.650266,4.597404
2.406,5.24767,0.650266,4.597404
2.408,5.24767,0.650265,4.597405
2.41,5.24767,0.650265,4.597405
2.412,5.24767,0.650266,4.597404
2.414,5.24767,0.650266,4.597404
2.416,5.24767,0.650265,4.597405
2.418,5.24767,0.650265,4.597405
2.42,5.24767,0.650266,4.597404
2.422,5.24767,0.650266,4.597404
2.424,5.24767,0.650266,4.597404
2.426,5.24767,0.650265,4.597405
2.428,5.24767,0.650265,4.597405
2.43,5.24767,0.650266,4.597404
2.432,5.24767,0.650266,4.597404
2.434,5.24767,0.650266,4.597404
2.436,5.24767,0.650266,4.597404
2.438,5.24767,0.650266,4.597404
2.44,5.24767,0.650266,4.597404
2.442,5.24767,0.650266,4.597404
2.444,5.24767,0.650266,4.597404
2.446,5.24767,0.650266,4.597404
2.448,5.24767,0.650265,4.597405
2.45,5.24767,0.650265,4.597405
2.452,5.24767,0.650266,4.597404
2.454,5.24767,0.650266,4.597404
2.456,5.24767,0.650265,4.597405
2.458,5.24767,0.650265,4.597405
2.46,5.24767,0.650266,4.597404
2.462,5.24767,0.650266,4.597404
2.464,5.24767,0.650266,4.597404
2.466,5.24767,0.650266,4.597404
2.468,5.24767,0.650266,4.597404
2.47,5.24767,0.650266,4.597404
2.472,5.24767,0.650266,4.597404
2.474,5.24767,0.650266,4.597404
2.476,5.24767,0.650266,4.597404
2.478,5.24767,0.650265,4.597405
2.48,5.24767,0.650265,4.597405
2.482,5.24767,0.650266,4.597404
2.484,5.24767,0.650266,4.597404
2.486,5.24767,0.650265,4.597405
2.488,5.24767,0.650265,4.597405
2.49,5.24767,0.650265,4.597405
2.492,5.24767,0.650266,4.597404
2.494,5.24767,0.650266,4.597404
2.496,5.24767,0.650266,4.597404
2.498,5.24767,0.650266,4.597404
2.5,5.24767,0.650266,4.597404
2.502,5.24767,0.650266,4.597404
2.504,5.24767,0.650266,4.597404
2.506,5.24767,0.650266,4.597404
2.508,5.24767,0.650265,4.597405
2.51,5.24767,0.650265,4.597405
2.512,5.24767,0.650265,4.597405
2.514,5.24767,0.650266,4.597404
2.516,5.24767,0.650266,4.597404
2.518,5.24767,0.650265,4.597405
2.52,5.24767,0.650265,4.597405
2.522,5.24767,0.650266,4.597404
2.524,5.24767,0.650266,4.597404
2.526,5.24767,0.650266,4.597404
2.528,5.24767,0.650266,4.597404
2.53,5.24767,0.650266,4.597404
2.532,5.24767,0.650266,4.597404
2.534,5.24767,0.650266,4.597404
2.536,5.24767,0.650266,4.597404
2.538,5.24767,0.650266,4.597404
2.54,5.24767,0.650265,4.597405
2.542,5.24767,0.650265,4.597405
2.544,5.24767,0.650266,4.597404
2.546,5.24767,0.650266,4.597404
2.548,5.24767,0.650265,4.597405
2.55,5.24767,0.650265,4.597405
2.552,5.24767,0.650266,4.597404
2.554,5.24767,0.650266,4.597404
2.556,5.24767,0.650266,4.597404
2.558,5.24767,0.650265,4.597405
2.56,5.24767,0.650265,4.597405
2.562,5.24767,0.650266,4.597404
2.564,5.24767,0.650266,4.597404
2.566,5.24767,0.650266,4.597404
2.568,5.24767,0.650266,4.597404
2.57,5.24767,0.650266,4.597404
2.572,5.24767,0.650266,4.597404
2.574,5.24767,0.650266,4.597404
2.576,5.24767,0.650266,4.597404
2.578,5.24767,0.650266,4.597404
2.58,5.24767,0.650265,4.597405
2.582,5.24767,0.650265,4.597405
2.584,5.24767,0.650266,4.597404
2.586,5.24767,0.650266,4.597404
2.588,5.24767,0.650265,4.597405
2.59,5.24767,0.650265,4.597405
2.592,5.24767,0.650266,4.597404
2.594,5.24767,0.650266,4.597404
2.596,5.24767,0.650266,4.597404
2.598,5.24767,0.650266,4.597404
2.6,5.24767,0.650266,4.597404
2.602,5.24767,0.650266,4.597404
2.604,5.24767,0.650266,4.597404
2.606,5.24767,0.650266,4.597404
2.608,5.24767,0.650266,4.597404
2.61,5.24767,0.650265,4.597405
2.612,5.24767,0.650265,4.597405
2.614,5.24767,0.650266,4.597404
2.616,5.24767,0.650266,4.597404
2.618,5.24767,0.650265,4.597405
2.62,5.24767,0.650265,4.597405
2.622,5.24767,0.650265,4.597405
2.624,5.24767,0.650266,4.597404
2.626,5.24767,0.650266,4.597404
2.628,5.24767,0.650266,4.597404
2.63,5.24767,0.650266,4.597404
2.632,5.24767,0.650266,4.597404
2.634,5.24767,0.650266,4.597404
2.636,5.24767,0.650266,4.597404
2.638,5.24767,0.650266,4.597404
2.64,5.24767,0.650265,4.597405
2.642,5.24767,0.650265,4.597405
2.644,5.24767,0.650265,4.597405
2.646,5.24767,0.650266,4.597404
2.648,5.24767,0.650266,4.597404
2.65,5.24767,0.650265,4.597405
2.652,5.24767,0.650265,4.597405
2.654,5.24767,0.650266,4.597404
2.656,5.24767,0.650266,4.597404
2.658,5.24767,0.650266,4.597404
2.66,5.24767,0.650266,4.597404
2.662,5.24767,0.650266,4.597404
2.664,5.24767,0.650266,4.597404
2.666,5.24767,0.650266,4.597404
2.668,5.24767,0.650266,4.597404
2.67,5.24767,0.650266,4.597404
2.672,5.24767,0.650265,4.597405
2.674,5.24767,0.650265,4.597405
2.676,5.24767,0.650266,4.597404
2.678,5.24767,0.650266,4.597404
2.68,5.24767,0.650265,4.597405
2.682,5.24767,0.650265,4.597405
2.684,5.24767,0.650266,4.597404
2.686,5.24767,0.650266,4.597404
2.688,5.24767,0.650266,4.597404
2.69,5.24767,0.650266,4.597404
2.692,5.24767,0.650266,4.597404
2.694,5.24767,0.650266,4.597404
2.696,5.24767,0.650266,4.597404
2.698,5.24767,0.650266,4.597404
2.7,5.24767,0.650266,4.597404
2.702,5.24767,0.650266,4.597404
2.704,5.24767,0.650266,4.597404
2.706,5.24767,0.650266,4.597404
2.708,5.24767,0.650266,4.597404
2.71,5.24767,0.650266,4.597404
2.712,5.24767,0.650265,4.597405
2.714,5.24767,0.650265,4.597405
2.716,5.24767,0.650266,4.597404
2.718,5.24767,0.650266,4.597404
2.72,5.24767,0.650265,4.597405
2.722,5.24767,0.650265,4.597405
2.724,5.24767,0.650266,4.597404
2.726,5.24767,0.650266,4.597404
2.728,5.24767,0.650266,4.597404
2.73,5.24767,0.650266,4.597404
2.732,5.24767,0.650266,4.597404
2.734,5.24767,0.650265,4.597405
2.736,5.24767,0.650265,4.597405
2.738,5.24767,0.650266,4.597404
2.74,5.24767,0.650266,4.597404
2.742,5.24767,0.650265,4.597405
2.744,5.24767,0.650265,4.597405
2.746,5.24767,0.650266,4.597404
2.748,5.24767,0.650266,4.597404
2.75,5.24767,0.650265,4.597405
2.752,5.24767,0.650265,4.597405
2.754,5.24767,0.650265,4.597405
2.756,5.24767,0.650266,4.597404
2.758,5.24767,0.650266,4.597404
2.76,5.24767,0.650266,4.597404
2.762,5.24767,0.650266,4.597404
2.764,5.24767,0.650266,4.597404
2.766,5.24767,0.650266,4.597404
2.768,5.24767,0.650266,4.597404
2.77,5.24767,0.650266,4.597404
2.772,5.24767,0.650265,4.597405
2.774,5.24767,0.650265,4.597405
2.776,5.24767,0.650265,4.597405
2.778,5.24767,0.650266,4.597404
2.78,5.24767,0.650266,4.597404
2.782,5.24767,0.650265,4.597405
2.784,5.24767,0.650265,4.597405
2.786,5.24767,0.650266,4.597404
2.788,5.24767,0.650266,4.597404
2.79,5.24767,0.650266,4.597404
2.792,5.24767,0.650266,4.597404
2.794,5.24767,0.650266,4.597404
2.796,5.24767,0.650266,4.597404
2.798,5.24767,0.650266,4.597404
2.8,5.24767,0.650266,4.597404
2.802,5.24767,0.650266,4.597404
2.804,5.24767,0.650265,4.597405
2.806,5.24767,0.650265,4.597405
2.808,5.24767,0.650266,4.597404
2.81,5.24767,0.650266,4.597404
2.812,5.24767,0.650265,4.597405
2.814,5.24767,0.650265,4.597405
2.816,5.24767,0.650266,4.597404
2.818,5.24767,0.650266,4.597404
2.82,5.24767,0.650266,4.597404
2.822,5.24767,0.650266,4.597404
2.824,5.24767,0.650266,4.597404
2.826,5.24767,0.650266,4.597404
2.828,5.24767,0.650266,4.597404
2.83,5.24767,0.650266,4.597404
2.832,5.24767,0.650266,4.597404
2.834,5.24767,0.650265,4.597405
2.836,5.24767,0.650265,4.597405
2.838,5.24767,0.650266,4.597404
2.84,5.24767,0.650266,4.597404
2.842,5.24767,0.650266,4.597404
2.844,5.24767,0.650265,4.597405
2.846,5.24767,0.650265,4.597405
2.848,5.24767,0.650266,4.597404
2.85,5.24767,0.650266,4.597404
2.852,5.24767,0.650266,4.597404
2.854,5.24767,0.650266,4.597404
2.856,5.24767,0.650266,4.597404
2.858,5.24767,0.650266,4.597404
2.86,5.24767,0.650266,4.597404
2.862,5.24767,0.650266,4.597404
2.864,5.24767,0.650266,4.597404
2.866,5.24767,0.650265,4.597405
2.868,5.24767,0.650265,4.597405
2.87,5.24767,0.650266,4.597404
2.872,5.24767,0.650266,4.597404
2.874,5.24767,0.650265,4.597405
2.876,5.24767,0.650265,4.597405
2.878,5.24767,0.650266,4.597404
2.88,5.24767,0.650266,4.597404
2.882,5.24767,0.650266,4.597404
2.884,5.24767,0.650266,4.597404
2.886,5.24767,0.650266,4.597404
2.888,5.24767,0.650266,4.597404
2.89,5.24767,0.650266,4.597404
2.892,5.24767,0.650266,4.597404
2.894,5.24767,0.650266,4.597404
2.896,5.24767,0.650266,4.597404
2.898,5.24767,0.650266,4.597404
2.9,5.24767,0.650266,4.597404
2.902,5.24767,0.650266,4.597404
2.904,5.24767,0.650265,4.597405
2.906,5.24767,0.650265,4.597405
2.908,5.24767,0.650265,4.597405
2.91,5.24767,0.650266,4.597404
2.912,5.24767,0.650266,4.597404
2.914,5.24767,0.650265,4.597405
2.916,5.24767,0.650265,4.597405
2.918,5.24767,0.650266,4.597404
2.92,5.24767,0.650266,4.597404
2.922,5.24767,0.650266,4.597404
2.924,5.24767,0.650266,4.597404
2.926,5.24767,0.650266,4.597404
2.928,5.24767,0.650266,4.597404
2.93,5.24767,0.650266,4.597404
2.932,5.24767,0.650266,4.597404
2.934,5.24767,0.650266,4.597404
2.936,5.24767,0.650265,4.597405
2.938,5.24767,0.650265,4.597405
2.94,5.24767,0.650266,4.597404
2.942,5.24767,0.650266,4.597404
2.944,5.24767,0.650265,4.597405
2.946,5.24767,0.650265,4.597405
2.948,5.24767,0.650266,4.597404
2.95,5.24767,0.650266,4.597404
2.952,5.24767,0.650266,4.597404
2.954,5.24767,0.650266,4.597404
2.956,5.24767,0.650266,4.597404
2.958,5.24767,0.650266,4.597404
2.96,5.24767,0.650266,4.597404
2.962,5.24767,0.650266,4.597404
2.964,5.24767,0.650266,4.597404
2.966,5.24767,0.650265,4.597405
2.968,5.24767,0.650265,4.597405
2.97,5.24767,0.650266,4.597404
2.972,5.24767,0.650266,4.597404
2.974,5.24767,0.650266,4.597404
2.976,5.24767,0.650265,4.597405
2.978,5.24767,0.650265,4.597405
2.98,5.24767,0.650266,4.597404
2.982,5.24767,0.650266,4.597404
2.984,5.24767,0.650266,4.597404
2.986,5.24767,0.650266,4.597404
2.988,5.24767,0.650266,4.597404
2.99,5.24767,0.650266,4.597404
2.992,5.24767,0.650266,4.597404
2.994,5.24767,0.650266,4.597404
2.996,5.24767,0.650266,4.597404
2.998,5.24767,0.650265,4.597405
3.0,5.24767,0.650265,4.597405
